Date,Open,High,Low,Close,Adj Close,Volume
"Feb 27, 2026",44.46,46.56,44.4,45.61,45.61,"79,231,400"
"Feb 26, 2026",46.77,46.95,44.39,45.46,45.46,"71,457,500"
"Feb 25, 2026",46.09,46.97,45.08,46.88,46.88,"75,645,300"
"Feb 24, 2026",44.1,46.6,43.54,46.12,46.12,"98,872,300"
"Feb 23, 2026",44.09,44.55,43.18,43.63,43.63,"57,130,900"
"Feb 20, 2026",43.89,44.39,42.88,44.11,44.11,"90,743,600"
"Feb 19, 2026",44.95,45.17,43.92,44.62,44.62,"72,724,900"
"Feb 18, 2026",45.92,46.77,44.88,45.46,45.46,"65,306,100"
"Feb 17, 2026",45.93,46.83,45.46,46.18,46.18,"65,802,200"
"Feb 13, 2026",45.76,47.69,44.97,46.79,46.79,"69,740,400"
"Feb 12, 2026",47.8,48.95,46.19,46.48,46.48,"88,321,200"
"Feb 11, 2026",48.11,49.55,46.86,48.29,48.29,"107,681,200"
"Feb 10, 2026",50.41,50.54,46.77,47.13,47.13,"99,832,900"
"Feb 9, 2026",49.59,51.22,47.59,50.24,50.24,"94,841,400"
"Feb 6, 2026",49.1,51.3,48.83,50.59,50.59,"115,600,200"
"Feb 5, 2026",47.59,50.86,46.79,48.24,48.24,"114,307,800"
"Feb 4, 2026",49.54,49.7,47,48.6,48.6,"128,702,300"
"Feb 3, 2026",50.06,51.49,48.43,49.25,49.25,"122,205,100"
"Feb 2, 2026",45.63,49.84,45.5,48.81,48.81,"101,414,600"
"Jan 30, 2026",48.98,49.58,45.96,46.47,46.47,"114,920,100"
"Jan 29, 2026",47.56,48.77,46.99,48.66,48.66,"124,256,600"
"Jan 28, 2026",46.6,49.29,46.32,48.78,48.78,"201,995,100"
"Jan 27, 2026",43.97,44.53,43.1,43.93,43.93,"121,832,200"
"Jan 26, 2026",44.28,44.46,42.28,42.49,42.49,"149,407,800"
"Jan 23, 2026",46.86,48.13,44.45,45.07,45.07,"294,675,400"
"Jan 22, 2026",54.21,54.6,53.08,54.32,54.32,"190,066,400"
"Jan 21, 2026",50.32,54.41,50.15,54.25,54.25,"220,565,300"
"Jan 20, 2026",47.3,50.23,47,48.56,48.56,"150,153,000"
"Jan 16, 2026",49.27,50.21,46.71,46.96,46.96,"127,314,700"
"Jan 15, 2026",49.35,50.39,47.83,48.32,48.32,"132,328,900"
"Jan 14, 2026",48.95,49,47.42,48.72,48.72,"148,225,800"
"Jan 13, 2026",45.89,48.24,45.22,47.29,47.29,"168,656,400"
"Jan 12, 2026",44.24,45.45,43.89,44.06,44.06,"101,989,100"
"Jan 9, 2026",41.83,45.73,41.57,45.55,45.55,"186,691,400"
"Jan 8, 2026",42.62,43.34,40.68,41.11,41.11,"88,242,000"
"Jan 7, 2026",40.18,44.57,40.12,42.63,42.63,"166,028,400"
"Jan 6, 2026",39.86,40.31,38.95,40.04,40.04,"66,395,100"
"Jan 5, 2026",41.59,42.1,39.27,39.37,39.37,"96,665,400"
"Jan 2, 2026",37.77,39.86,37.76,39.38,39.38,"95,396,400"
"Dec 31, 2025",37.4,37.58,36.87,36.9,36.9,"51,524,700"
"Dec 30, 2025",36.91,38.26,36.82,37.3,37.3,"61,935,300"
"Dec 29, 2025",36.01,36.8,35.82,36.68,36.68,"38,062,300"
"Dec 26, 2025",36.17,36.49,35.85,36.2,36.2,"28,779,400"
"Dec 24, 2025",35.17,36.18,34.95,36.16,36.16,"37,443,800"
"Dec 23, 2025",36.24,36.8,36.03,36.35,36.35,"35,958,000"
"Dec 22, 2025",37.89,37.9,36.29,36.37,36.37,"51,685,400"
