Date,Open,High,Low,Close,Adj Close,Volume
"Nov 26, 2025",423.95,426.94,416.89,426.58,426.58,"63,299,400"
"Nov 25, 2025",414.42,420.48,405.95,419.4,419.4,"71,915,600"
"Nov 24, 2025",402.17,421.72,401.09,417.78,417.78,"96,806,400"
"Nov 21, 2025",402.32,402.8,383.76,391.09,391.09,"100,460,600"
"Nov 20, 2025",414.63,428.94,394.74,395.23,395.23,"113,548,800"
"Nov 19, 2025",406.18,411.78,398.5,403.99,403.99,"72,047,700"
"Nov 18, 2025",405.38,408.9,393.71,401.25,401.25,"80,688,600"
"Nov 17, 2025",398.74,423.96,398.74,408.92,408.92,"102,214,300"
"Nov 14, 2025",386.3,412.19,382.78,404.35,404.35,"105,506,700"
"Nov 13, 2025",423.13,424.5,396.34,401.99,401.99,"118,948,000"
"Nov 12, 2025",442.15,442.33,426.56,430.6,430.6,"58,513,500"
"Nov 11, 2025",439.4,442.49,432.36,439.62,439.62,"60,533,200"
"Nov 10, 2025",439.6,449.67,433.36,445.23,445.23,"76,515,900"
"Nov 7, 2025",437.92,439.36,421.88,429.52,429.52,"103,471,500"
"Nov 6, 2025",461.96,467.45,435.09,445.91,445.91,"109,622,900"
"Nov 5, 2025",452.05,466.33,440.71,462.07,462.07,"85,573,000"
"Nov 4, 2025",454.46,460.22,443.6,444.26,444.26,"87,756,600"
"Nov 3, 2025",455.99,474.07,453.8,468.37,468.37,"84,595,200"
"Oct 31, 2025",446.75,458,443.69,456.56,456.56,"83,135,800"
"Oct 30, 2025",451.05,455.06,439.61,440.1,440.1,"72,447,900"
"Oct 29, 2025",462.5,465.7,452.65,461.51,461.51,"67,983,500"
"Oct 28, 2025",454.78,467,451.6,460.55,460.55,"80,185,700"
"Oct 27, 2025",439.98,460.16,438.69,452.42,452.42,"105,867,500"
"Oct 24, 2025",446.83,451.68,430.17,433.72,433.72,"94,727,800"
"Oct 23, 2025",420,449.4,413.9,448.98,448.98,"126,709,800"
"Oct 22, 2025",443.45,445.54,429,438.97,438.97,"84,023,500"
"Oct 21, 2025",445.76,449.3,442.05,442.6,442.6,"54,412,200"
"Oct 20, 2025",443.87,449.8,440.61,447.43,447.43,"63,719,000"
"Oct 17, 2025",425.5,441.46,423.6,439.31,439.31,"89,331,600"
"Oct 16, 2025",434.73,439.35,421.31,428.75,428.75,"77,189,900"
"Oct 15, 2025",434.9,440.51,426.33,435.15,435.15,"71,558,200"
"Oct 14, 2025",426.79,434.2,417.86,429.24,429.24,"72,669,400"
"Oct 13, 2025",423.53,436.89,419.7,435.9,435.9,"79,552,800"
"Oct 10, 2025",436.54,443.13,411.45,413.49,413.49,"112,107,900"
"Oct 9, 2025",431.81,436.35,426.18,435.54,435.54,"69,339,900"
